timestamp,pow,traw,tmu,cd,cv,ci,cstatus,ctemp
941,152,97,33814,9125,1003,2718,0,77625
943,161,97,33791,9140,1003,2722,0,77625
945,158,97,33789,9125,1003,2761,0,77625
948,159,97,33784,9140,1003,2730,0,78625
950,154,97,33794,9125,1004,2652,0,78125
952,159,97,33804,9140,1003,2726,0,78625
954,159,97,33787,9125,1003,2734,0,77125
957,165,97,33792,9140,1003,2804,0,78125
959,162,97,33793,9125,1003,2730,0,77625
961,156,97,33792,9125,1001,2742,0,78625
963,157,97,33785,9125,1003,2742,0,78625
966,159,97,33784,9125,1001,2753,0,78125
968,157,97,33792,9125,1004,2812,0,79125
970,155,97,33785,9125,1003,2828,0,78125
973,155,97,33788,9140,1003,2691,0,78625
975,159,97,33784,9140,1003,2722,0,78625
977,162,97,33808,9140,1004,2777,0,77625
993,160,98,33777,9125,1003,2746,0,78625
995,157,98,33787,9125,1003,2710,0,78125
997,149,98,33789,9125,1003,2582,0,78125
1000,157,98,33777,9140,1003,2687,0,78125
1002,157,98,33793,9140,1003,2656,0,79125
1004,152,98,33797,9125,1004,2699,0,78625
1006,152,98,33792,9140,1003,2644,0,78625
1009,155,98,33793,9140,1003,2691,0,79125
1015,158,98,33795,9140,1003,2691,0,78625
1018,161,98,33788,9140,1004,2726,0,79125
1020,168,98,33797,9140,1003,2785,0,79125
1022,157,98,33802,9125,1003,2777,0,79625
1025,163,98,33814,9140,1004,2773,0,77625
1027,166,98,33819,9140,1004,2718,0,78125
1029,157,98,33807,9140,1004,2746,0,78625
1031,158,98,33807,9140,1004,2667,0,78625
1034,157,98,33810,9140,1004,2703,0,78125
1036,151,98,33808,9140,1003,2625,0,78625
1038,151,98,33819,9140,1003,2679,0,79125
1040,161,98,33807,9140,1004,2707,0,78625
1047,154,99,33802,9140,1006,2644,0,80125
1049,154,99,33817,9140,1004,2730,0,79125
1052,154,99,33810,9140,1003,2722,0,79625
1054,153,99,33820,9140,1004,2687,0,78125
1056,156,99,33815,9140,1001,2687,0,79125
1058,157,99,33819,9140,1003,2687,0,80125
1061,161,99,33823,9140,1004,2738,0,78625
1063,157,99,33808,9140,1003,2742,0,78125
1065,161,99,33823,9140,1003,2691,0,79625
1067,157,99,33814,9140,1006,2726,0,78625
1070,160,99,33806,9156,1004,2789,0,80125
1072,156,99,33805,9140,1003,2707,0,78625
1074,154,99,33800,9140,1003,2671,0,79625
1077,155,99,33798,9140,1004,2714,0,78625
1079,155,99,33802,9140,1003,2601,0,79125
1081,155,99,33808,9140,1003,2675,0,79625
1083,158,99,33815,9140,1006,2699,0,79125
1086,155,99,33802,9156,1004,2750,0,79625
1088,156,99,33808,9140,1004,2687,0,79125
1090,159,99,33810,9140,1003,2695,0,80125
1092,158,99,33801,9140,1004,2687,0,79125
1095,159,99,33806,9140,1003,2699,0,79625
1097,152,99,33802,9140,1003,2710,0,79625
1099,161,99,33802,9140,1004,2804,0,78125
1101,153,99,33814,9140,1004,2691,0,79625
1104,158,99,33807,9140,1004,2667,0,80125
1106,153,100,33806,9140,1003,2695,0,79125
1108,153,100,33808,9140,1003,2703,0,79625
1110,157,100,33815,9140,1004,2691,0,79125
1113,163,100,33808,9140,1004,2738,0,78625
1115,160,100,33791,9140,1003,2761,0,79125
1117,164,100,33799,9140,1003,2800,0,79625
1119,159,100,33794,9140,1003,2675,0,79125
1122,162,100,33801,9140,1003,2800,0,79125
1124,163,100,33794,9140,1003,2824,0,79625
1126,164,100,33799,9140,1003,2832,0,79125
1129,157,100,33803,9140,1004,2695,0,79125
1131,155,100,33792,9140,1003,2703,0,79625
1133,154,100,33796,9140,1003,2753,0,79625
1135,161,100,33813,9140,1003,2742,0,79125
1138,151,100,33805,9140,1001,2722,0,80125
1140,153,100,33797,9140,1003,2750,0,80625
1142,152,100,33797,9140,1004,2691,0,79625
1144,154,100,33798,9140,1004,2687,0,79125
1147,162,100,33797,9140,1001,2781,0,79125
1149,157,100,33794,9156,1004,2703,0,80625
1151,152,100,33783,9140,1004,2707,0,79625
1153,156,100,33774,9140,1004,2730,0,79625
1156,155,100,33779,9140,1003,2757,0,79625
1158,152,100,33787,9140,1004,2691,0,80125
1160,155,100,33802,9140,1003,2687,0,79125
1162,162,100,33795,9140,1003,2812,0,79625
1165,151,100,33782,9140,1003,2621,0,80625
1167,156,100,33792,9140,1003,2656,0,80625
1169,153,100,33795,9140,1003,2644,0,80625
1171,152,101,33787,9140,1001,2660,0,80125
1174,152,101,33783,9140,1003,2718,0,79625
1176,159,101,33794,9140,1003,2835,0,80625
1178,157,101,33782,9140,1004,2730,0,80125
1181,153,101,33789,9140,1003,2683,0,79625
1183,153,101,33792,9140,1003,2660,0,80625
1185,154,101,33790,9140,1004,2714,0,80625
